"Designator","Value","Footprint","Datasheet","Description","Qty","DNP"
"J0","8P8C","Connector_RJ:RJ45_Amphenol_RJHSE5380","~","RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61, Shielded","1",""
"J1-J3","Conn_01x06_Pin","Connector_Molex:Molex_PicoBlade_53398-0671_1x06-1MP_P1.25mm_Vertical","~","","3",""
