Ref,Val,Package,PosX,PosY,Rot,Side
"J_CAN_IN1","Conn_01x03","TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",96.000000,-109.000000,180.000000,top
"J_MOTOR1","JST","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",110.100000,-114.700000,-90.000000,top
"J_MOTOR2","JST","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",105.500000,-114.700000,-90.000000,top
"J_MOTOR3","JST","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",100.900000,-114.700000,-90.000000,top
"J_MOTOR4","JST","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",96.300000,-114.700000,-90.000000,top
"J_MOTOR5","JST","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",91.700000,-114.700000,-90.000000,top
"J_PWR_IN1","Conn_01x02_Pin","AMASS_XT60PW-M_1x02_P7.20mm_Horizontal",114.600000,-112.650000,-90.000000,top
